Артикул;Основная категория товара;Подраздел категории товара;Наименование;Описание;Производитель;Артикул производителя;Цена (Розница);Цена (Опт);Можно купить;На складе;Время отгрузки;Размер;Цвет;aID;Материал;Батарейки;Упаковка;Вес (брутто);Фотография маленькая до 150*150;Фотография 1;Фотография 2;Фотография 3;Фотография 4;Фотография 5;Штрихкод
299;Страпоны, фаллопротезы;Трусики и насадки;Трусики с насадкой Vac-U-Lock Set 7  ULTRASKYN Ultra Harness - 17,3 см.;Эти кожаные трусики с вырезом для пениса и штырьком для фиксации насадок Harness одинаково хорошо сядут как на мужские, так и на женские бёдра благодаря системе регулировки.  Тот, на ком они окажутся, сможет порадовать пассивного партнёра восхитительной вагинальной/анальной стимуляцией.  Насадка, отличаясь реалистичными формами и непревзойдённой упругостью, подарит как чувственное скольжение, так и требовательные толчки – наслаждению быть! Рабочая длина - 15,7 см.;Doc Johnson;1050-15-BX;12504.00;8067.01;1;16;2;;телесный;303;Ultraskin;;картонная коробка;485;http://feed.p5s.ru/images/small/0/small_299.jpg;http://feed.p5s.ru/images/big/0/299.jpg;http://feed.p5s.ru/images/big/0/299-1.jpg;http://feed.p5s.ru/images/big/0/299-2.jpg;http://feed.p5s.ru/images/big/0/299-3.jpg;;7,82E+11
325;Фаллоимитаторы;Реалистичные;Фаллоимитатор на присоске The Realistic Cock 6” with Removable Vac-U-Lock Suction Cup - 17,3 см.;Когда тело жаждет ласки, а фантазии так и бурлят в голове, скорую сексуальную помощь окажет вам этот реалистичный «мужчина».  Чтобы насладиться рельефом его упругого тельца и анатомическими формами, вам достаточно погрузить его в лоно, предварительно закрепив на жёсткой поверхности.  Свободные руки, свобода движений, свобода фантазий – красота, да и только! Рабочая длина - 15,7 см.;Doc Johnson;0271-01-BX;8151.00;4657.96;1;42;2;;телесный;329;поливинилхлорид (ПВХ, PVC);;картонная коробка;475;http://feed.p5s.ru/images/small/0/small_325.jpg;http://feed.p5s.ru/images/big/0/325.jpg;http://feed.p5s.ru/images/big/0/325-1.jpg;http://feed.p5s.ru/images/big/0/325-2.jpg;http://feed.p5s.ru/images/big/0/325-3.jpg;;7,82E+11
351;BDSM, садо-мазо товары;Наручники, ошейники;Металлические наручники, обшитые черным мехом;Металлические наручники, обшитые мехом черного цвета. Замок фиксируется при помощи ключей. Прочные и одновременно нежные наручники придадут предварительным ласкам и сексу особую пикантность и новизну. ;Seven Creations;E0014B10PGAC;1068.00;561.92;1;362;2;;черный;355;искусственный мех;;картонная коробка;120;http://feed.p5s.ru/images/small/0/small_351.jpg;http://feed.p5s.ru/images/big/0/351.jpg;;;;;6,95E+12
352;BDSM, садо-мазо товары;Наручники, ошейники;Металлические наручники, обшитые леопардовым мехом;Скучный и однообразный секс навсегда покинет вашу спальню. Металлические наручники, декорированные леопардовым мехом – это залог яркой сексуальной прелюдии и, как следствие, незабываемого оргазма.  Прочные и одновременно нежные наручники придадут предварительным ласкам и сексу особую пикантность и новизну. Обхват - 5,5-8 см.;Gopaldas;E0014C20PGAC;1068.00;561.92;1;72;2;;леопард;356;искусственный мех;;картонная коробка;120;http://feed.p5s.ru/images/small/0/small_352.jpg;http://feed.p5s.ru/images/big/0/352.jpg;;;;;6,95E+12
384;Смазки, лубриканты;На водной основе;Гель-лубрикант на водной основе Wet Original - 89 мл.;Высококлассный лубрикант на водной основе. Без парабенов. Содержит в себе 48% воды и 46% глицерина. Не содержит сахар. Не оставляет пятен. Без запаха, без цвета. Рекомендуется для чувствительной кожи. Совместим с латексом и любыми игрушками, материалами. Прекрасно устраняет сухость, продлевает комфортное скольжение благодаря своей густой и вязкой структуре. Кожа дольше остается влажной, благодаря чему увеличивается время полового акта. ;Wet International Inc.;20346;1558.00;819.96;1;30;2;;;388;;;флакон;200;http://feed.p5s.ru/images/small/0/small_384.jpg;http://feed.p5s.ru/images/big/0/384.jpg;;;;;7,16E+11
385;Смазки, лубриканты;На водной основе;Гель-лубрикант на водной основе Wet Original - 178 мл.;Высококлассный лубрикант на водной основе. Без парабенов. Содержит в себе 48% воды и 46% глицерина. Не содержит сахар. Не оставляет пятен. Без запаха, без цвета. Рекомендуется для чувствительной кожи. Совместим с латексом и любыми игрушками, материалами. Прекрасно устраняет сухость, продлевает комфортное скольжение благодаря своей густой и вязкой структуре. Кожа дольше остается влажной, благодаря чему увеличивается время полового акта. ;Wet International Inc.;20347;1886.00;992.46;1;30;2;;;389;;;флакон;169;http://feed.p5s.ru/images/small/0/small_385.jpg;http://feed.p5s.ru/images/big/0/385.jpg;;;;;7,16E+11
416;БАДы;Возбуждающие для всех;Средство для повышения сексуальной энергии EROTISIN - 10 мл.;Средство (афродизиак) для повышения сексуальной энергии для мужчин и женщин. Эрозитин расширяет кровеносные сосуды, тем самым улучшает кровоснабжение половых органов. Активирует выделение гормонов, усиливает эрекцию и половое влечение у лиц ведущих активную половую жизнь, а так же у людей преклонного возраста. Эротизин — сексуальная энергия для него и для нее! ;Milan Arzneimittel GmbH;16;2592.00;1440.24;0;0;3;;;420;;;картонная коробка;;http://feed.p5s.ru/images/small/0/small_416.jpg;http://feed.p5s.ru/images/big/0/416.jpg;;;;;4,03E+12
417;БАДы;Возбуждающие для всех;Средство для повышения сексуальной энергии Erotisin - 30 драже (430 мг.);Комплекс из известных и проверенных афродизиаков, входящих в состав добавки, пробуждают чувственность и сексуальную энергию мужчин и женщин. Эротизин разжигает былую страсть, ускоряет наступление возбуждения, помогает достичь новых пиков наслаждения.   Для чего: Для повышения либидо, при сексуальной дисгармонии пар.  Для кого: Для мужчин и женщин, которые стремятся получить более яркие ощущения от секса, повысить либидо, укрепить отношения.    Противопоказания: индивидуальная непереносимость компонентов, беременность, кормление грудью, повышенная нервная возбудимость, бессонница, повышенное артериальное давление, прием в вечернее время, нарушение сердечной деятельности, выраженный атеросклероз. Перед применением рекомендуется проконсультироваться с врачом. ;Milan Arzneimittel GmbH;17;2684.00;1490.93;1;5;2;;;421;;;картонная коробка;30;http://feed.p5s.ru/images/small/0/small_417.jpg;http://feed.p5s.ru/images/big/0/417.jpg;http://feed.p5s.ru/images/big/0/417-1.jpg;http://feed.p5s.ru/images/big/0/417-2.jpg;http://feed.p5s.ru/images/big/0/417-3.jpg;;4,03E+12
428;Смазки, лубриканты;Пролонгаторы;Пролонгирующий крем Men Stop-Stop - 18 мл.;Превосходное средство с охлаждающим эффектом, предупреждающее преждевременную эякуляцию, с деликатным запахом. Применяется только мужчиной  не снижая остроты ощущений уменьшает чувствительность головки, тем самым способствуя продлению полового акта до момента достижения оргазма партнершей.  Перед применением обязательно прочитайте инструкцию, приложенную к препарату.;Inverma;50400;1771.00;932.00;1;10;2;;;432;;;туба;30;http://feed.p5s.ru/images/small/0/small_428.jpg;http://feed.p5s.ru/images/big/0/428.jpg;;;;;4,03E+12
486;Вибраторы;Реалистики;Вибромассажер-реалистик телесного цвета на присоске The Realistic Cock Vibrating 6” - 21,6 см.;Реалистичные формы, упругость, мощная мультискоростная вибрация, удобство использования… Всё это качества The Realistic Cock Vibrating – вибратора, способного открыть вам райское наслаждение!  Закрепите фаллос на твёрдой поверхности, например, стуле, и позвольте ему проникнуть в лоно до самой мошонки. Скольжение и трепет тельца заведут вас с пол-оборота, а затем доведут до пика блаженства! Рабочая длина - 16,5 см. ;Doc Johnson;1156-01-BX;9117.00;5882.04;1;8;2;;телесный;490;поливинилхлорид (ПВХ, PVC);2 шт., тип AA;картонная коробка;510;http://feed.p5s.ru/images/small/0/small_486.jpg;http://feed.p5s.ru/images/big/0/486.jpg;http://feed.p5s.ru/images/big/0/486-1.jpg;http://feed.p5s.ru/images/big/0/486-2.jpg;;;7,82E+11
515;Страпоны, фаллопротезы;Трусики и насадки;Трусики со штырьком для фиксации насадок Ultra Harness with Plug;Перед вами - инструмент наслаждения, по крайней мере, главная его часть.  С этими трусиками с прорезью, надеть которые может как женщина, так и мужчина, вам доступны самые чувственные ласки!   И для этого необходимо лишь закрепить на штырьке любую из насадок Harness (приобретаются отдельно). ;Doc Johnson;1010-02-BX;5888.00;3364.36;1;3;2;;черный;519;полиэстер;;картонная коробка;480;http://feed.p5s.ru/images/small/0/small_515.jpg;http://feed.p5s.ru/images/big/0/515.jpg;http://feed.p5s.ru/images/big/0/515-1.jpg;http://feed.p5s.ru/images/big/0/515-2.jpg;;;7,82E+11
521;Страпоны, фаллопротезы;Трусики и насадки;Крупная насадка Vac-U-Lock Realistic Kong - 23 см.;Этот фаллос с волосками на мошонке не зря носит имя Конга. Он, как и положено гигантам, крепок и способен подарить сильные сексуальные переживания!  Насадка, совместимая с любыми трусиками Harness(приобретаются отдельно), готова максимально заполнять собой лоно, чувственно раздвигать стеночки, а также настойчиво дразнить вас скольжением.  Конг – ваш любимый великан!  Рабочая длина - 18,8 см.;Doc Johnson;1015-17-BX;8529.00;4873.97;1;9;2;;телесный;525;поливинилхлорид (ПВХ, PVC);;картонная коробка;690;http://feed.p5s.ru/images/small/0/small_521.jpg;http://feed.p5s.ru/images/big/0/521.jpg;http://feed.p5s.ru/images/big/0/521-1.jpg;http://feed.p5s.ru/images/big/0/521-2.jpg;http://feed.p5s.ru/images/big/0/521-3.jpg;http://feed.p5s.ru/images/big/0/521-4.jpg;7,82E+11
522;Страпоны, фаллопротезы;Трусики и насадки;Реалистичная насадка 7  Realistic Perfect Erect Cock - 18,5 см.;Этот реалистичный фаллос с юношеской эрекцией и поджатой мошонкой может подарить море наслаждения каждой женщине.  Стоит ввести его в лоно, чтобы голова распухла от нескромных фантазий, а кровь закипела от возбуждения.  Закрепив насадку на трусиках Harness (приобретаются отдельно), вы можете использовать получившийся страпон для удовлетворения своей сексуальной партнёрши – будет жарко! ;Doc Johnson;1015-18-BX;7061.00;4034.75;1;10;2;;телесный;526;поливинилхлорид (ПВХ, PVC);;картонная коробка;387;http://feed.p5s.ru/images/small/0/small_522.jpg;http://feed.p5s.ru/images/big/0/522.jpg;http://feed.p5s.ru/images/big/0/522-1.jpg;http://feed.p5s.ru/images/big/0/522-2.jpg;http://feed.p5s.ru/images/big/0/522-3.jpg;http://feed.p5s.ru/images/big/0/522-4.jpg;7,82E+11
525;Страпоны, фаллопротезы;Женские страпоны;Насадка с трусиками Vac-U-Lock Set 7  Realistic Ultra Harness - 17,3 см.;Страпон, состоящий из трусиков-унисекс со штырьком и насадки-фаллоса, - идеальное решение для пар, решивших привнести в интимную близость элемент новизны.  Мужчина, затянув трусики на бёдрах и продев свой пенис в вырез ниже насадки, сможет порадовать партнёршу как двойным проникновением, так и долгой вагинальной стимуляцией.  Женщина, проделав почти то же самое (у неё ведь нет пениса), примерит на себя роль секс-лидера, а также будет в состоянии подарить анальные/вагинальные ласки пассивному партнёру/партнёрше. Рабочая длина - 15,7 см.;Doc Johnson;1050-02-BX;11977.00;7726.85;1;1;2;;телесный;529;поливинилхлорид (ПВХ, PVC);;картонная коробка;575;http://feed.p5s.ru/images/small/0/small_525.jpg;http://feed.p5s.ru/images/big/0/525.jpg;http://feed.p5s.ru/images/big/0/525-1.jpg;http://feed.p5s.ru/images/big/0/525-2.jpg;http://feed.p5s.ru/images/big/0/525-3.jpg;;7,82E+11
655;Страпоны, фаллопротезы;Трусики и насадки;Насадка-фаллос телесного цвета - 16,3 см.;У этой реалистичной секс-игрушки из материала ПВХ-силикон такой потенциал! С одной стороны, это фаллоимитатор, способный покорить любую своей упругостью и формами. С другой, это всё же насадка, которую можно без усилий надёжно зафиксировать на плуге специальных трусиков (продаются отдельно).  Дилдо или, в паре с трусиками Harness, страпон - решать лишь вам!  ;Джага-Джага;203-02 BX DD;1307.00;687.83;1;1;2;;телесный;659;ПВХ-силикон;;картонная коробка;260;http://feed.p5s.ru/images/small/0/small_655.jpg;http://feed.p5s.ru/images/big/0/655.jpg;http://feed.p5s.ru/images/big/0/655-1.jpg;http://feed.p5s.ru/images/big/0/655-2.jpg;;;4,62E+12
656;Страпоны, фаллопротезы;Трусики и насадки;Насадка-фаллос телесного цвета - 17 см.;Нежно-розовая и чётко очерченная головка, упругое тельце с напряжёнными венками… Одного взгляда на эту секс-игрушку из материала ПВХ-силикон достаточно, чтобы в голове пронеслись сотни сексуальных фантазий!  С этой реалистичной насадкой можно часами наслаждаться вагинальными ласками. Если же насадить её на плуг трусиков Harness (продаются отдельно), получится страпон, а значит, и новые варианты сексуальных игр.  ;Джага-Джага;203-05 BX DD;1307.00;687.83;1;3;2;;телесный;660;ПВХ-силикон;;картонная коробка;330;http://feed.p5s.ru/images/small/0/small_656.jpg;http://feed.p5s.ru/images/big/0/656.jpg;http://feed.p5s.ru/images/big/0/656-1.jpg;http://feed.p5s.ru/images/big/0/656-2.jpg;http://feed.p5s.ru/images/big/0/656-3.jpg;;4,62E+12
672;Вибраторы;Анально-вагинальные;Двойной анально-вагинальный вибромассажер Xcel - 25 см.;Этот стимулятор позволит вам понять в полной мере, каким сладким может быть двойное проникновение. Один отросток – гладкий фаллос с чуть загнутой головкой, второй – анальная ёлочка из сросшихся друг с другом шариков.  Введите одновременно оба отростка в глубины вашего тела, чтобы получить максимальное удовольствие. Мощная вибрация, распространяющаяся по всей длине стимулятора, значительно приумножит наслаждение. Длина вагинального отростка - 13 см., диаметр - 2,5 см.  Длина вагинального отростка - 13 см., диаметр - 2 см. ;Seven Creations;2K329CLV BCD GP;2135.00;1185.92;1;49;2;;фиолетовый;676;поливинилхлорид (ПВХ, PVC);2 шт., тип AA;блистер;320;http://feed.p5s.ru/images/small/0/small_672.jpg;http://feed.p5s.ru/images/big/0/672.jpg;http://feed.p5s.ru/images/big/0/672-1.jpg;;;;4,89E+12
716;Страпоны, фаллопротезы;Трусики и насадки;Реалистичная насадка Vac-U-Lock Realistic Stryker - 22,86 см.;Эта насадка, подходящая ко всем трусикам Harness (приобретаются отдельно), поражает своей реалистичностью. Что на вид, что на ощупь, её не отличить от мужского члена!  Что примечательно, этот фаллос сделан со слепка пениса известного американского актёра ХХХ-жанра Джеффа Страйкера.  Теперь, используя секс-игрушку самостоятельно или в качестве страпона, вы в полной мере сможете насладиться сексом со звездой!  Рабочая длина - 18,8 см.;Doc Johnson;1015-16-BX;8529.00;4873.97;1;15;2;;телесный;720;поливинилхлорид (ПВХ, PVC);;картонная коробка;480;http://feed.p5s.ru/images/small/0/small_716.jpg;http://feed.p5s.ru/images/big/0/716.jpg;http://feed.p5s.ru/images/big/0/716-1.jpg;;;;7,82E+11
725;Фаллоимитаторы;Классические дилдо;Розовый прозрачный гелевый фаллоимитатор Сristal Jellies - 20 см.;Перед вами настоящая секс-игрушка для девушек! Нежно-розовый гель, аппетитные формы, реалистичный рельеф и податливость…  Ммм, ради ласки такого «мужчины» можно отложить любые дела! Проникая в лоно и аккуратно массируя стеночки, дилдо заставит вас двигаться бёдрами ему навстречу – неистово и со всей страстью!  ;Doc Johnson;0285-01-CD;2628.00;1459.95;1;28;2;;розовый;729;Cyber-jellee;;блистер;315;http://feed.p5s.ru/images/small/0/small_725.jpg;http://feed.p5s.ru/images/big/0/725.jpg;http://feed.p5s.ru/images/big/0/725-1.jpg;;;;7,82E+11
727;Фаллоимитаторы;Двусторонние;Двухсторонний гелевый фаллоимитатор Crystal Jellies 12  Jr. Double Dong - 30,5 см.;Гелевый фаллоимитатор с максимально реалистичным рельефом, который повторяет скульптуру эрегированного пениса. Он сделан из прозрачного материала. Качественный и надёжный. Двусторонний и благодаря этой особенности вы получите максимальное удовольствие и наслаждение от процесса. Фаллоимитатор без вибрации и выполняет роль вагинального стимулятора.  ;Doc Johnson;0287-01-CD;3415.00;1896.95;1;10;2;;розовый;731;поливинилхлорид (ПВХ, PVC);;блистер;435;http://feed.p5s.ru/images/small/0/small_727.jpg;http://feed.p5s.ru/images/big/0/727.jpg;http://feed.p5s.ru/images/big/0/727-1.jpg;;;;7,82E+11
729;Анальные игрушки;Анальные стимуляторы без вибрации;Фиолетовая анальная ёлочка SpectraGels Purple Anal Tool - 17,5 см.;Хороводы вокруг этой фиолетовой «ёлочки» доставят вам массу наслаждения! Позвольте стимулятору войти в вашу попку, погрузиться в вас до самого основания.  Упругая и мягкая, расширяющаяся книзу, втулка заставит трепетать от удовольствия каждую клеточку вашего ануса! Спорим, вам будет хотеться еще и еще? Рабочая длина - 13 см.;Doc Johnson;0290-01-CD;2177.00;1209.19;1;33;2;;фиолетовый;733;поливинилхлорид (ПВХ, PVC);;блистер;170;http://feed.p5s.ru/images/small/0/small_729.jpg;http://feed.p5s.ru/images/big/0/729.jpg;http://feed.p5s.ru/images/big/0/729-1.jpg;;;;7,82E+11
810;Смазки, лубриканты;Пролонгаторы;Крем для мужчин INVERMA HERREN CREME - 20 мл.;Супер-крем для усиления мужской эрекции.После определенного возраста многие мужчины отмечают ухудшение эректильной функции, снижение либидо. Немецкие ученые разработали группу продуктов INVERMA, которые способствуют повышению потенции, и тем самым улучшают качество сексуальной жизни мужчин после 30 лет.   Опрос показал, что мужчины, использовавшие крем INVERMA HERREN CREME однократно перед половым актом отмечали улучшение эрекции, те же, кто использовал крем курсом отметили качественное улучшение потенции, стабильную эрекцию и более яркий и долгий оргазм.Усиливает интенсивность ощущений, дает незамедлительный эффект, предотвращающий ослабление эрекции в течение продолжительного времени.  Максимальный эффект достигается при курсовом применении. Специальные компоненты, входящие в состав крема, благотворно влияют на эректильную функию. При регулярном применении обеспечивается сильная и стабильная эрекция. Не имеет побочных эффектов.  Перед применением внимательно прочитайте инструкцию.;Inverma;52300;2135.00;1185.90;1;25;2;;;814;;;картонная коробка;40;http://feed.p5s.ru/images/small/0/small_810.jpg;http://feed.p5s.ru/images/big/0/810.jpg;;;;;4,03E+12
891;Вибраторы;Реалистики;Вибратор с мошонкой №1 - 18,5 см.;Его зовут Номер 1, и это имя полностью отражает его сущность. Идеальный во всём – в реалистичных формах и мощной вибрации – он способен стать вашим лучшим любовником!  Чувственно проникая в лоно и массируя стеночки (заслуга упругого тельца с рельефом), вибратор из ультрареалистичного материала ЭКОй заведёт вас с первых же секунд вибрации.  ;Джага-Джага;202-01 BX DD;1874.00;986.07;1;5;2;;телесный;895;ЭКОй;2 шт., тип AA;картонная коробка;455;http://feed.p5s.ru/images/small/0/small_891.jpg;http://feed.p5s.ru/images/big/0/891.jpg;http://feed.p5s.ru/images/big/0/891-1.jpg;http://feed.p5s.ru/images/big/0/891-2.jpg;http://feed.p5s.ru/images/big/0/891-3.jpg;;4,62E+12
